sample_name	animations_gradient	animations_trajectory	body_habitat	body_product	body_site	bodysite	description	dna_extracted	elevation	env	env_biome	env_feature	env_material	env_package	geo_loc_name	host_common_name	host_scientific_name	host_subject_id	host_taxid	latitude	longitude	physical_specimen_location	physical_specimen_remaining	psn	public	qiita_study_id	sample_type	scientific_name	sequencecenter	taxon_id	title
1928.SRS011165.SRX020669.SRR045303	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	Buccal_mucosa	HMP_SRS011165.SRX020669.SRR045303	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700014979	9606	38.98	-77.11	HMP-DACC	FALSE	700014979	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011167.SRX020666.SRR044975	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	Attached_Keratinized_gingiva	HMP_SRS011167.SRX020666.SRR044975	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700014982	9606	38.98	-77.11	HMP-DACC	FALSE	700014982	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011167.SRX020669.SRR045346	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	Attached_Keratinized_gingiva	HMP_SRS011167.SRX020669.SRR045346	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700014982	9606	38.98	-77.11	HMP-DACC	FALSE	700014982	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011169.SRX020660.SRR044843	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	Palatine_Tonsils	HMP_SRS011169.SRX020660.SRR044843	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700014985	9606	38.98	-77.11	HMP-DACC	FALSE	700014985	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011169.SRX020668.SRR045068	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	Palatine_Tonsils	HMP_SRS011169.SRX020668.SRR045068	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700014985	9606	38.98	-77.11	HMP-DACC	FALSE	700014985	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011171.SRX020515.SRR045363	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:throat	Throat	HMP_SRS011171.SRX020515.SRR045363	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700014988	9606	38.98	-77.11	HMP-DACC	FALSE	700014988	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011171.SRX020537.SRR045382	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:throat	Throat	HMP_SRS011171.SRX020537.SRR045382	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700014988	9606	38.98	-77.11	HMP-DACC	FALSE	700014988	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011171.SRX020570.SRR047528	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:throat	Throat	HMP_SRS011171.SRX020570.SRR047528	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700014988	9606	38.98	-77.11	HMP-DACC	FALSE	700014988	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011173.SRX020666.SRR044963	0	NA	UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	Supragingival_plaque	HMP_SRS011173.SRX020666.SRR044963	TRUE	97	Oral	urban biome	host-associated habitat	organic material	human-oral	USA	human	Homo sapiens	700014991	9606	38.98	-77.11	HMP-DACC	FALSE	700014991	TRUE	1928	supragingival dental plaque	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011173.SRX020669.SRR049317	0	NA	UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	Supragingival_plaque	HMP_SRS011173.SRX020669.SRR049317	TRUE	97	Oral	urban biome	host-associated habitat	organic material	human-oral	USA	human	Homo sapiens	700014991	9606	38.98	-77.11	HMP-DACC	FALSE	700014991	TRUE	1928	supragingival dental plaque	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011175.SRX020666.SRR044910	0	NA	UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	Subgingival_plaque	HMP_SRS011175.SRX020666.SRR044910	TRUE	97	Oral	urban biome	host-associated habitat	organic material	human-oral	USA	human	Homo sapiens	700014994	9606	38.98	-77.11	HMP-DACC	FALSE	700014994	TRUE	1928	subgingival dental plaque	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011175.SRX020669.SRR045292	0	NA	UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	Subgingival_plaque	HMP_SRS011175.SRX020669.SRR045292	TRUE	97	Oral	urban biome	host-associated habitat	organic material	human-oral	USA	human	Homo sapiens	700014994	9606	38.98	-77.11	HMP-DACC	FALSE	700014994	TRUE	1928	subgingival dental plaque	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011177.SRX020666.SRR044936	0	NA	UBERON:skin	UBERON:sebum	UBERON:skin of external ear	L_Retroauricular_crease	HMP_SRS011177.SRX020666.SRR044936	TRUE	97	Skin	urban biome	host-associated habitat	sebum	human-skin	USA	human	Homo sapiens	700014997	9606	38.98	-77.11	HMP-DACC	FALSE	700014997	TRUE	1928	sebum	human skin metagenome	WUGSC	539655	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011177.SRX020669.SRR045318	0	NA	UBERON:skin	UBERON:sebum	UBERON:skin of external ear	L_Retroauricular_crease	HMP_SRS011177.SRX020669.SRR045318	TRUE	97	Skin	urban biome	host-associated habitat	sebum	human-skin	USA	human	Homo sapiens	700014997	9606	38.98	-77.11	HMP-DACC	FALSE	700014997	TRUE	1928	sebum	human skin metagenome	WUGSC	539655	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011179.SRX020515.SRR045376	0	NA	UBERON:skin	UBERON:sebum	UBERON:skin of external ear	R_Retroauricular_crease	HMP_SRS011179.SRX020515.SRR045376	TRUE	97	Skin	urban biome	host-associated habitat	sebum	human-skin	USA	human	Homo sapiens	700015000	9606	38.98	-77.11	HMP-DACC	FALSE	700015000	TRUE	1928	sebum	human skin metagenome	WUGSC	539655	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011180.SRX020515.SRR045372	0	NA	UBERON:skin	UBERON:sebum	UBERON:skin of elbow	L_Antecubital_fossa	HMP_SRS011180.SRX020515.SRR045372	TRUE	97	Skin	urban biome	host-associated habitat	sebum	human-skin	USA	human	Homo sapiens	700015003	9606	38.98	-77.11	HMP-DACC	FALSE	700015003	TRUE	1928	sebum	human skin metagenome	WUGSC	539655	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011180.SRX020571.SRR045481	0	NA	UBERON:skin	UBERON:sebum	UBERON:skin of elbow	L_Antecubital_fossa	HMP_SRS011180.SRX020571.SRR045481	TRUE	97	Skin	urban biome	host-associated habitat	sebum	human-skin	USA	human	Homo sapiens	700015003	9606	38.98	-77.11	HMP-DACC	FALSE	700015003	TRUE	1928	sebum	human skin metagenome	WUGSC	539655	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011181.SRX020515.SRR045370	0	NA	UBERON:skin	UBERON:sebum	UBERON:skin of elbow	R_Antecubital_fossa	HMP_SRS011181.SRX020515.SRR045370	TRUE	97	Skin	urban biome	host-associated habitat	sebum	human-skin	USA	human	Homo sapiens	700015006	9606	38.98	-77.11	HMP-DACC	FALSE	700015006	TRUE	1928	sebum	human skin metagenome	WUGSC	539655	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011182.SRX020515.SRR045359	0	NA	UBERON:skin	UBERON:sebum	UBERON:skin of nose	Anterior_nares	HMP_SRS011182.SRX020515.SRR045359	TRUE	97	Skin	urban biome	host-associated habitat	sebum	human-skin	USA	human	Homo sapiens	700015009	9606	38.98	-77.11	HMP-DACC	FALSE	700015009	TRUE	1928	sebum	human skin metagenome	WUGSC	539655	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011271.SRX020666.SRR044974	0	NA	UBERON:feces	UBERON:feces	UBERON:feces	Stool	HMP_SRS011271.SRX020666.SRR044974	TRUE	97	Stool	urban biome	host-associated habitat	feces	human-gut	USA	human	Homo sapiens	700015250	9606	38.98	-77.11	HMP-DACC	FALSE	700015250	TRUE	1928	stool	human gut metagenome	WUGSC	408170	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011271.SRX020669.SRR049646	0	NA	UBERON:feces	UBERON:feces	UBERON:feces	Stool	HMP_SRS011271.SRX020669.SRR049646	TRUE	97	Stool	urban biome	host-associated habitat	feces	human-gut	USA	human	Homo sapiens	700015250	9606	38.98	-77.11	HMP-DACC	FALSE	700015250	TRUE	1928	stool	human gut metagenome	WUGSC	408170	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011273.SRX020666.SRR044970	0	NA	UBERON:saliva	UBERON:saliva	UBERON:saliva	Saliva	HMP_SRS011273.SRX020666.SRR044970	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700015260	9606	38.98	-77.11	HMP-DACC	FALSE	700015260	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011273.SRX020669.SRR045343	0	NA	UBERON:saliva	UBERON:saliva	UBERON:saliva	Saliva	HMP_SRS011273.SRX020669.SRR045343	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700015260	9606	38.98	-77.11	HMP-DACC	FALSE	700015260	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011275.SRX020666.SRR044913	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:tongue	Tongue_dorsum	HMP_SRS011275.SRX020666.SRR044913	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700015265	9606	38.98	-77.11	HMP-DACC	FALSE	700015265	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011275.SRX020669.SRR045295	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:tongue	Tongue_dorsum	HMP_SRS011275.SRX020669.SRR045295	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700015265	9606	38.98	-77.11	HMP-DACC	FALSE	700015265	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011277.SRX020515.SRR045360	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	Hard_palate	HMP_SRS011277.SRX020515.SRR045360	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700015268	9606	38.98	-77.11	HMP-DACC	FALSE	700015268	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011277.SRX020570.SRR045450	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	Hard_palate	HMP_SRS011277.SRX020570.SRR045450	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700015268	9606	38.98	-77.11	HMP-DACC	FALSE	700015268	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011279.SRX020666.SRR044988	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	Buccal_mucosa	HMP_SRS011279.SRX020666.SRR044988	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700015271	9606	38.98	-77.11	HMP-DACC	FALSE	700015271	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011279.SRX020669.SRR045358	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	Buccal_mucosa	HMP_SRS011279.SRX020669.SRR045358	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700015271	9606	38.98	-77.11	HMP-DACC	FALSE	700015271	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011281.SRX020660.SRR044860	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	Attached_Keratinized_gingiva	HMP_SRS011281.SRX020660.SRR044860	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700015274	9606	38.98	-77.11	HMP-DACC	FALSE	700015274	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011281.SRX020668.SRR045088	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	Attached_Keratinized_gingiva	HMP_SRS011281.SRX020668.SRR045088	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700015274	9606	38.98	-77.11	HMP-DACC	FALSE	700015274	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011283.SRX020666.SRR044951	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	Palatine_Tonsils	HMP_SRS011283.SRX020666.SRR044951	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700015277	9606	38.98	-77.11	HMP-DACC	FALSE	700015277	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011283.SRX020669.SRR045329	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	Palatine_Tonsils	HMP_SRS011283.SRX020669.SRR045329	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700015277	9606	38.98	-77.11	HMP-DACC	FALSE	700015277	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011285.SRX020660.SRR047473	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:throat	Throat	HMP_SRS011285.SRX020660.SRR047473	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700015280	9606	38.98	-77.11	HMP-DACC	FALSE	700015280	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011285.SRX020662.SRR045419	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:throat	Throat	HMP_SRS011285.SRX020662.SRR045419	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700015280	9606	38.98	-77.11	HMP-DACC	FALSE	700015280	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011285.SRX020664.SRR045444	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:throat	Throat	HMP_SRS011285.SRX020664.SRR045444	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700015280	9606	38.98	-77.11	HMP-DACC	FALSE	700015280	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011285.SRX020668.SRR045095	0	NA	UBERON:oral cavity	UBERON:saliva	UBERON:throat	Throat	HMP_SRS011285.SRX020668.SRR045095	TRUE	97	Oral	urban biome	host-associated habitat	sebum	human-oral	USA	human	Homo sapiens	700015280	9606	38.98	-77.11	HMP-DACC	FALSE	700015280	TRUE	1928	saliva	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011287.SRX020660.SRR044887	0	NA	UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	Supragingival_plaque	HMP_SRS011287.SRX020660.SRR044887	TRUE	97	Oral	urban biome	host-associated habitat	organic material	human-oral	USA	human	Homo sapiens	700015283	9606	38.98	-77.11	HMP-DACC	FALSE	700015283	TRUE	1928	supragingival dental plaque	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011287.SRX020662.SRR045413	0	NA	UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	Supragingival_plaque	HMP_SRS011287.SRX020662.SRR045413	TRUE	97	Oral	urban biome	host-associated habitat	organic material	human-oral	USA	human	Homo sapiens	700015283	9606	38.98	-77.11	HMP-DACC	FALSE	700015283	TRUE	1928	supragingival dental plaque	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011287.SRX020664.SRR045439	0	NA	UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	Supragingival_plaque	HMP_SRS011287.SRX020664.SRR045439	TRUE	97	Oral	urban biome	host-associated habitat	organic material	human-oral	USA	human	Homo sapiens	700015283	9606	38.98	-77.11	HMP-DACC	FALSE	700015283	TRUE	1928	supragingival dental plaque	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011287.SRX020668.SRR045119	0	NA	UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	Supragingival_plaque	HMP_SRS011287.SRX020668.SRR045119	TRUE	97	Oral	urban biome	host-associated habitat	organic material	human-oral	USA	human	Homo sapiens	700015283	9606	38.98	-77.11	HMP-DACC	FALSE	700015283	TRUE	1928	supragingival dental plaque	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011289.SRX020666.SRR044982	0	NA	UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	Subgingival_plaque	HMP_SRS011289.SRX020666.SRR044982	TRUE	97	Oral	urban biome	host-associated habitat	organic material	human-oral	USA	human	Homo sapiens	700015286	9606	38.98	-77.11	HMP-DACC	FALSE	700015286	TRUE	1928	subgingival dental plaque	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011289.SRX020669.SRR045353	0	NA	UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	Subgingival_plaque	HMP_SRS011289.SRX020669.SRR045353	TRUE	97	Oral	urban biome	host-associated habitat	organic material	human-oral	USA	human	Homo sapiens	700015286	9606	38.98	-77.11	HMP-DACC	FALSE	700015286	TRUE	1928	subgingival dental plaque	human oral metagenome	WUGSC	447426	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011290.SRX020515.SRR045368	0	NA	UBERON:skin	UBERON:sebum	UBERON:skin of external ear	L_Retroauricular_crease	HMP_SRS011290.SRX020515.SRR045368	TRUE	97	Skin	urban biome	host-associated habitat	sebum	human-skin	USA	human	Homo sapiens	700015289	9606	38.98	-77.11	HMP-DACC	FALSE	700015289	TRUE	1928	sebum	human skin metagenome	WUGSC	539655	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011292.SRX020515.SRR045374	0	NA	UBERON:skin	UBERON:sebum	UBERON:skin of external ear	R_Retroauricular_crease	HMP_SRS011292.SRX020515.SRR045374	TRUE	97	Skin	urban biome	host-associated habitat	sebum	human-skin	USA	human	Homo sapiens	700015292	9606	38.98	-77.11	HMP-DACC	FALSE	700015292	TRUE	1928	sebum	human skin metagenome	WUGSC	539655	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011292.SRX020537.SRR045395	0	NA	UBERON:skin	UBERON:sebum	UBERON:skin of external ear	R_Retroauricular_crease	HMP_SRS011292.SRX020537.SRR045395	TRUE	97	Skin	urban biome	host-associated habitat	sebum	human-skin	USA	human	Homo sapiens	700015292	9606	38.98	-77.11	HMP-DACC	FALSE	700015292	TRUE	1928	sebum	human skin metagenome	WUGSC	539655	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011292.SRX020570.SRR047532	0	NA	UBERON:skin	UBERON:sebum	UBERON:skin of external ear	R_Retroauricular_crease	HMP_SRS011292.SRX020570.SRR047532	TRUE	97	Skin	urban biome	host-associated habitat	sebum	human-skin	USA	human	Homo sapiens	700015292	9606	38.98	-77.11	HMP-DACC	FALSE	700015292	TRUE	1928	sebum	human skin metagenome	WUGSC	539655	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011293.SRX020515.SRR049319	0	NA	UBERON:skin	UBERON:sebum	UBERON:skin of elbow	L_Antecubital_fossa	HMP_SRS011293.SRX020515.SRR049319	TRUE	97	Skin	urban biome	host-associated habitat	sebum	human-skin	USA	human	Homo sapiens	700015295	9606	38.98	-77.11	HMP-DACC	FALSE	700015295	TRUE	1928	sebum	human skin metagenome	WUGSC	539655	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011294.SRX020515.SRR045377	0	NA	UBERON:skin	UBERON:sebum	UBERON:skin of elbow	R_Antecubital_fossa	HMP_SRS011294.SRX020515.SRR045377	TRUE	97	Skin	urban biome	host-associated habitat	sebum	human-skin	USA	human	Homo sapiens	700015298	9606	38.98	-77.11	HMP-DACC	FALSE	700015298	TRUE	1928	sebum	human skin metagenome	WUGSC	539655	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011294.SRX020537.SRR045398	0	NA	UBERON:skin	UBERON:sebum	UBERON:skin of elbow	R_Antecubital_fossa	HMP_SRS011294.SRX020537.SRR045398	TRUE	97	Skin	urban biome	host-associated habitat	sebum	human-skin	USA	human	Homo sapiens	700015298	9606	38.98	-77.11	HMP-DACC	FALSE	700015298	TRUE	1928	sebum	human skin metagenome	WUGSC	539655	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011294.SRX020570.SRR049323	0	NA	UBERON:skin	UBERON:sebum	UBERON:skin of elbow	R_Antecubital_fossa	HMP_SRS011294.SRX020570.SRR049323	TRUE	97	Skin	urban biome	host-associated habitat	sebum	human-skin	USA	human	Homo sapiens	700015298	9606	38.98	-77.11	HMP-DACC	FALSE	700015298	TRUE	1928	sebum	human skin metagenome	WUGSC	539655	Structure, function and diversity of the healthy human microbiome (V35)
1928.SRS011296.SRX020666.SRR044980	0	NA	UBERON:skin	UBERON:sebum	UBERON:skin of nose	Anterior_nares	HMP_SRS011296.SRX020666.SRR044980	TRUE	97	Skin	urban biome	host-associated habitat	sebum	human-skin	USA	human	Homo sapiens	700015301	9606	38.98	-77.11	HMP-DACC	FALSE	700015301	TRUE	1928	sebum	human skin metagenome	WUGSC	539655	Structure, function and diversity of the healthy human microbiome (V35)
